Region,Year,Installed rooftop PV - in KW
NT,2006,492.255
NT,2007,672.01
NT,2008,1086.0800000000002
NT,2009,1596.127
NT,2010,3089.191
NT,2011,4892.675
NT,2012,7185.5019999999995
NT,2013,12231.347000000003
NT,2014,18351.779
NT,2015,26988.196999999996
NT,2016,39686.132999999994
NT,2017,55130.84399999999
NT,2018,75306.383
NT,2019,104064.30900000001
NT,2020,131811.05500000002
NT,2021,150275.11000000002
NT,2022,156333.83000000002
NSW,2006,1044.984
NSW,2007,2309.1089999999995
NSW,2008,6516.811
NSW,2009,25706.472999999984
NSW,2010,179092.6349999999
NSW,2011,374251.22699999984
NSW,2012,518840.6619999996
NSW,2013,652252.2749999998
NSW,2014,824216.3410000001
NSW,2015,1000627.3170000002
NSW,2016,1167297.4240000006
NSW,2017,1429882.5770000003
NSW,2018,1854762.4889999991
NSW,2019,2444811.1459999993
NSW,2020,3340668.493
NSW,2021,4286221.991
NSW,2022,4581774.073
ACT,2006,19.560000000000002
ACT,2007,113.69
ACT,2008,607.655
ACT,2009,1890.454
ACT,2010,7036.3330000000005
ACT,2011,24261.785
ACT,2012,29295.144999999997
ACT,2013,40078.950000000004
ACT,2014,44975.232
ACT,2015,50706.613
ACT,2016,57611.038
ACT,2017,69973.275
ACT,2018,92115.42300000001
ACT,2019,122225.07
ACT,2020,168816.618
ACT,2021,226386.539
ACT,2022,257305.109
VIC,2006,857.8420000000001
VIC,2007,1968.1020000000005
VIC,2008,4697.987000000003
VIC,2009,15216.151999999978
VIC,2010,74175.36099999989
VIC,2011,214584.89799999996
VIC,2012,422168.7230000006
VIC,2013,553783.3590000006
VIC,2014,725483.1479999998
VIC,2015,875458.4310000004
VIC,2016,1020036.2600000006
VIC,2017,1225561.7469999995
VIC,2018,1564458.6519999995
VIC,2019,2025404.8819999995
VIC,2020,2599839.681000001
VIC,2021,3270707.296000001
VIC,2022,3439424.409000001
QLD,2006,1402.912
QLD,2007,2104.0890000000013
QLD,2008,6261.171000000006
QLD,2009,30771.549999999992
QLD,2010,123136.80800000008
QLD,2011,348330.1090000001
QLD,2012,766735.362
QLD,2013,1035607.1849999996
QLD,2014,1284399.8669999999
QLD,2015,1477160.8760000009
QLD,2016,1676699.605000001
QLD,2017,1983375.712999999
QLD,2018,2390903.3310000007
QLD,2019,2955907.2870000005
QLD,2020,3709417.5479999986
QLD,2021,4515042.243999999
QLD,2022,4775899.631999999
SA,2006,2288.090999999999
SA,2007,3946.3139999999976
SA,2008,8826.973000000005
SA,2009,21259.670000000002
SA,2010,54494.22599999998
SA,2011,218018.71699999992
SA,2012,356059.266
SA,2013,497460.08099999995
SA,2014,579995.1249999994
SA,2015,646638.5310000001
SA,2016,724311.2690000009
SA,2017,839655.5370000006
SA,2018,1014411.4269999997
SA,2019,1237540.1649999996
SA,2020,1541248.8729999994
SA,2021,1829499.1329999994
SA,2022,1921477.6499999994
WA,2006,435.341
WA,2007,1074.7640000000001
WA,2008,3998.9210000000007
WA,2009,18300.01399999999
WA,2010,60447.18599999994
WA,2011,183460.27700000006
WA,2012,283006.3209999999
WA,2013,352564.668
WA,2014,447859.7259999998
WA,2015,544100.2170000002
WA,2016,672148.7530000003
WA,2017,858665.030999999
WA,2018,1068888.7919999997
WA,2019,1315457.4149999998
WA,2020,1651493.386
WA,2021,2001713.4139999999
WA,2022,2121738.479
TAS,2006,38.415
TAS,2007,76.628
TAS,2008,312.8180000000001
TAS,2009,2035.142
TAS,2010,5051.199000000001
TAS,2011,10963.607000000007
TAS,2012,31222.601000000002
TAS,2013,62724.701
TAS,2014,81682.649
TAS,2015,91208.965
TAS,2016,103053.49800000004
TAS,2017,117640.31899999999
TAS,2018,136543.07900000003
TAS,2019,157061.89900000003
TAS,2020,183860.42199999996
TAS,2021,216833.23199999996
TAS,2022,228539.16199999995
